train-AUCPR,val-AUCPR,train-AUROC,val-AUROC
0.465417,0.409725,0.861198,0.837366
0.511156,0.444885,0.867334,0.854899
0.5164,0.452366,0.870265,0.855499
0.535795,0.462469,0.873151,0.859663
0.560852,0.482876,0.883015,0.8651
0.557305,0.481097,0.88565,0.867917
0.563045,0.489212,0.885912,0.868478
0.566097,0.493953,0.889357,0.872396
0.57458,0.501663,0.89191,0.873786
0.584077,0.502303,0.89302,0.873366
0.590216,0.511411,0.894909,0.874754
0.596875,0.517601,0.89932,0.879325
0.599251,0.514685,0.900259,0.879733
0.604852,0.523654,0.902057,0.881064
0.604982,0.522204,0.904368,0.88324
0.604918,0.522138,0.904624,0.882987
0.608836,0.525596,0.905813,0.883434
0.612638,0.527395,0.907743,0.885152
0.615074,0.528438,0.909119,0.886329
0.622455,0.533001,0.909857,0.887272
0.622889,0.530278,0.910608,0.887327
0.625963,0.530768,0.91146,0.888275
0.627405,0.532275,0.911866,0.887874
0.630137,0.533265,0.912646,0.888755
0.631894,0.537614,0.913193,0.889613
0.632862,0.537915,0.913901,0.890478
0.633945,0.537157,0.914595,0.891235
0.634951,0.537144,0.915272,0.891843
0.636236,0.540589,0.915658,0.892239
0.63703,0.542379,0.91629,0.893155
0.642798,0.54445,0.917301,0.893817
0.642971,0.542603,0.917852,0.894003
0.643764,0.54342,0.918392,0.894426
0.644027,0.542285,0.918801,0.89436
0.645589,0.544658,0.919585,0.895239
0.647451,0.54439,0.920312,0.895693
0.649435,0.54622,0.920869,0.896212
0.651022,0.547124,0.921311,0.896354
0.653012,0.549391,0.921819,0.896912
0.655198,0.548573,0.922569,0.897376
0.657086,0.551532,0.923356,0.898013
0.658865,0.552236,0.924011,0.898336
0.663363,0.555227,0.924648,0.898878
0.664009,0.555039,0.924757,0.89888
0.667736,0.554863,0.925427,0.899115
0.668255,0.5541,0.925966,0.899571
0.670142,0.554236,0.926502,0.899713
0.671033,0.554585,0.927021,0.899917
0.672356,0.555514,0.92735,0.90039
0.673655,0.555976,0.927822,0.900506
0.673991,0.555203,0.928262,0.900625
0.676357,0.556405,0.928949,0.900882
0.678524,0.556881,0.929563,0.901477
0.681078,0.557335,0.930218,0.901907
0.682626,0.558543,0.930694,0.902333
0.684634,0.560808,0.931143,0.90273
0.686267,0.563302,0.931661,0.903111
0.687761,0.563386,0.932028,0.90317
0.689273,0.564079,0.932474,0.903374
0.690407,0.564988,0.932878,0.903772
0.69189,0.565206,0.93323,0.903803
0.693866,0.566672,0.933793,0.904191
0.694592,0.567411,0.934235,0.904455
0.695712,0.568419,0.934654,0.904804
0.696892,0.571088,0.935107,0.905457
0.698793,0.572566,0.935729,0.905828
0.699851,0.572982,0.936303,0.906254
0.700706,0.574377,0.936664,0.90641
0.701907,0.574488,0.937191,0.906703
0.702739,0.57527,0.937475,0.906865
0.704602,0.577305,0.937902,0.907132
0.70527,0.578892,0.938269,0.907414
0.707078,0.579621,0.938649,0.907706
0.708496,0.580447,0.938994,0.907824
0.710251,0.581182,0.93953,0.908459
0.711393,0.582451,0.939866,0.908765
0.712528,0.582494,0.940232,0.908935
0.713603,0.581577,0.940706,0.908953
0.714559,0.582772,0.941017,0.909195
0.715933,0.583432,0.941347,0.909508
0.717084,0.583386,0.941801,0.909711
0.718628,0.583621,0.942187,0.909843
0.719759,0.584552,0.942666,0.910093
0.720338,0.585121,0.942969,0.910245
0.721581,0.585616,0.943406,0.910498
0.722772,0.58566,0.943863,0.910821
0.723721,0.585593,0.944206,0.911028
0.725174,0.586312,0.944484,0.911184
0.726079,0.586577,0.94485,0.911495
0.727312,0.587399,0.94523,0.911881
0.72906,0.589259,0.945647,0.912245
0.730774,0.590489,0.946011,0.912626
0.731138,0.591348,0.946265,0.912917
0.732208,0.592056,0.94649,0.913118
0.732711,0.592781,0.946714,0.913312
0.733804,0.592928,0.947037,0.913499
0.735242,0.593453,0.947362,0.913707
0.735981,0.593868,0.947611,0.913826
0.737126,0.593817,0.947995,0.914062
0.738005,0.594602,0.948269,0.914206
0.739026,0.594894,0.948527,0.914277
0.740249,0.595753,0.948851,0.914356
0.741278,0.596306,0.949111,0.914552
0.742545,0.596378,0.949355,0.91463
0.743225,0.597274,0.949583,0.914866
0.744463,0.597347,0.949848,0.915063
0.746198,0.59941,0.950208,0.915411
0.747216,0.600255,0.950419,0.915558
0.748437,0.601188,0.950692,0.915815
0.750096,0.602653,0.951126,0.916187
0.750906,0.602819,0.951304,0.916377
0.752157,0.603681,0.951596,0.91672
0.753528,0.603682,0.951865,0.916834
0.754606,0.603843,0.952245,0.916986
0.755739,0.6037,0.95249,0.917186
0.756734,0.604003,0.952812,0.917569
0.757855,0.60419,0.953089,0.917785
0.758712,0.605015,0.953356,0.917888
0.759911,0.605818,0.953719,0.918109
0.760791,0.606005,0.954039,0.918285
0.761814,0.605825,0.954271,0.918451
0.762512,0.606549,0.954541,0.918564
0.763459,0.607199,0.954824,0.918635
0.764284,0.607497,0.955087,0.918898
0.765166,0.608046,0.955309,0.918961
0.765953,0.608302,0.95554,0.91913
0.767082,0.60998,0.955777,0.919408
0.767727,0.610588,0.955973,0.919581
0.768673,0.611324,0.956231,0.919947
0.769281,0.611915,0.956467,0.920143
0.769939,0.6122,0.956685,0.920321
0.77074,0.613018,0.956878,0.920499
0.771418,0.614046,0.957069,0.920628
0.771969,0.614243,0.957213,0.920661
0.772805,0.614269,0.957428,0.920751
0.773457,0.615293,0.957559,0.920832
0.774473,0.615572,0.957792,0.921017
0.775449,0.616758,0.957974,0.921233
0.776106,0.61707,0.958167,0.921484
0.776866,0.617232,0.958369,0.92169
0.777636,0.617796,0.958591,0.921868
0.778418,0.618338,0.958805,0.922051
0.779276,0.618954,0.958985,0.922171
0.780192,0.618906,0.959208,0.922249
0.781506,0.619897,0.959407,0.922485
0.782124,0.620909,0.959556,0.922762
0.782967,0.621044,0.959703,0.922913
0.784057,0.622003,0.959886,0.923048
0.784918,0.622444,0.960024,0.923126
0.786191,0.623068,0.960318,0.92332
0.786912,0.623814,0.960479,0.923554
0.788163,0.623536,0.960727,0.923657
0.788863,0.623753,0.960918,0.923708
0.790075,0.624423,0.961158,0.923838
0.790746,0.624467,0.961317,0.92397
0.791531,0.625565,0.96151,0.924109
0.79199,0.626318,0.961657,0.924366
0.792994,0.626725,0.961918,0.924588
0.793961,0.627191,0.962128,0.924776
0.794656,0.627943,0.962268,0.924869
0.795393,0.628898,0.962426,0.925009
0.796024,0.629127,0.962573,0.925091
0.796481,0.629375,0.962689,0.92518
0.79698,0.629872,0.962839,0.925316
0.797751,0.630617,0.962994,0.925469
0.798312,0.630815,0.963121,0.925576
0.798998,0.631232,0.963257,0.925654
0.799428,0.631581,0.963391,0.925758
0.800066,0.631477,0.96353,0.925829
0.801307,0.63177,0.963801,0.926035
0.80216,0.632133,0.964017,0.926181
0.803064,0.632888,0.964166,0.926321
0.803388,0.633562,0.964255,0.926449
0.804224,0.633896,0.964447,0.926597
0.804829,0.634128,0.964578,0.926775
0.805699,0.634466,0.964786,0.926975
0.806277,0.6345,0.964949,0.927066
0.807087,0.634749,0.965086,0.927207
0.807897,0.6356,0.965248,0.927356
0.808768,0.636247,0.965398,0.9274
0.809447,0.636771,0.965533,0.927475
0.810179,0.637183,0.965666,0.927544
0.810819,0.637181,0.965857,0.92771
0.811803,0.637516,0.966067,0.927813
0.812553,0.637903,0.966275,0.927959
0.813179,0.638308,0.966431,0.928034
0.813939,0.638959,0.966582,0.92814
0.814493,0.639282,0.9667,0.928237
0.815215,0.639887,0.966875,0.928408
0.816032,0.640572,0.967053,0.928622
0.816962,0.640756,0.967271,0.928703
0.817773,0.641068,0.967509,0.928853
0.818428,0.641324,0.967673,0.929008
0.819191,0.641869,0.967867,0.929183
0.819892,0.642403,0.968048,0.929378
0.820556,0.642647,0.96822,0.929523
0.821208,0.642936,0.968383,0.929657
0.821808,0.643445,0.968492,0.929741
0.822427,0.643761,0.968618,0.929887
0.823002,0.644386,0.968765,0.93001
0.823702,0.64526,0.968876,0.930185
0.824123,0.646048,0.968965,0.930292
0.824657,0.646759,0.969086,0.930368
0.825347,0.646766,0.969222,0.930412
0.825713,0.647429,0.969342,0.930536
0.826213,0.647297,0.969415,0.930535
0.826707,0.647794,0.969522,0.930611
0.82695,0.648296,0.969598,0.930712
0.827564,0.648291,0.969713,0.930727
0.828409,0.649469,0.969937,0.93089
0.828944,0.649833,0.97005,0.930956
0.829522,0.649991,0.970203,0.931025
0.830215,0.649978,0.970333,0.931089
