train-AUCPR,val-AUCPR,train-AUROC,val-AUROC
0.463199,0.443398,0.858764,0.842726
0.505353,0.471781,0.875014,0.854004
0.524566,0.473854,0.88415,0.862703
0.532639,0.466171,0.887185,0.864145
0.559016,0.483304,0.895436,0.874448
0.568311,0.492187,0.896778,0.876254
0.577875,0.504927,0.89817,0.876858
0.576724,0.505802,0.897714,0.876302
0.586755,0.509781,0.898742,0.877944
0.595458,0.519628,0.900529,0.878975
0.604718,0.51973,0.904224,0.88076
0.609202,0.521205,0.906042,0.882192
0.613436,0.526614,0.907172,0.884842
0.614182,0.52542,0.907441,0.885458
0.616255,0.530064,0.90848,0.886384
0.615669,0.528013,0.90992,0.88727
0.618449,0.526152,0.910716,0.887546
0.619601,0.526538,0.911577,0.888396
0.623154,0.529778,0.912885,0.889741
0.624776,0.532495,0.913078,0.889838
0.625456,0.531529,0.913315,0.889807
0.626569,0.530987,0.913766,0.890444
0.627398,0.528312,0.914502,0.890754
0.630554,0.52745,0.914831,0.890594
0.634449,0.529066,0.915523,0.890944
0.637281,0.531708,0.915895,0.891027
0.638386,0.531301,0.916648,0.891437
0.639357,0.533233,0.916871,0.891206
0.640715,0.535342,0.917173,0.891555
0.642609,0.538392,0.917831,0.892356
0.6429,0.538512,0.918258,0.892879
0.644674,0.539652,0.918429,0.892896
0.647218,0.539037,0.919341,0.893623
0.648127,0.53906,0.919985,0.894471
0.649269,0.540933,0.920761,0.894798
0.649044,0.542158,0.92115,0.895222
0.650905,0.542036,0.921936,0.895523
0.652554,0.543717,0.922275,0.895834
0.65286,0.542572,0.922808,0.896098
0.654858,0.543624,0.923158,0.896545
0.655609,0.544696,0.92379,0.896915
0.656154,0.543931,0.924279,0.897139
0.657244,0.544682,0.924874,0.897834
0.657533,0.545328,0.925195,0.89794
0.661091,0.548924,0.925707,0.898466
0.66324,0.547583,0.926216,0.89862
0.665535,0.54911,0.926799,0.898974
0.668406,0.551398,0.927428,0.899395
0.669061,0.551136,0.927725,0.899506
0.670266,0.550689,0.928188,0.899776
0.672704,0.551748,0.928825,0.900151
0.674239,0.553612,0.929287,0.900671
0.676982,0.554705,0.929939,0.901339
0.679528,0.554383,0.930487,0.901544
0.682106,0.554712,0.930988,0.90186
0.684328,0.55733,0.931497,0.90228
0.685088,0.558658,0.931889,0.902567
0.685987,0.558554,0.932254,0.902677
0.687561,0.560418,0.932671,0.903194
0.689732,0.56208,0.933279,0.903642
0.690995,0.562667,0.933806,0.904104
0.693183,0.564552,0.934438,0.904588
0.694426,0.56386,0.93486,0.90479
0.696007,0.565345,0.935222,0.905041
0.697285,0.566354,0.935638,0.905224
0.698714,0.566707,0.936045,0.905697
0.700298,0.567962,0.936434,0.906039
0.701324,0.569048,0.936887,0.906332
0.702645,0.570529,0.937189,0.906545
0.703156,0.571111,0.937478,0.906841
0.704362,0.574013,0.93781,0.907237
0.705765,0.574251,0.93818,0.907486
0.706844,0.575577,0.938488,0.907685
0.707851,0.576396,0.938975,0.908039
0.709235,0.577199,0.939417,0.90858
0.710242,0.57725,0.939793,0.90867
0.711056,0.577947,0.94014,0.90884
0.713085,0.579457,0.940574,0.909314
0.714179,0.579371,0.940873,0.90944
0.715049,0.579626,0.941205,0.90964
0.716476,0.579481,0.941587,0.909986
0.717283,0.57983,0.941913,0.910294
0.718987,0.581433,0.942383,0.910532
0.719727,0.582072,0.942793,0.91079
0.721138,0.582069,0.943121,0.911024
0.722595,0.58354,0.943575,0.911388
0.723901,0.584594,0.943846,0.911595
0.724775,0.585052,0.944121,0.911736
0.726426,0.585471,0.94452,0.911856
0.727713,0.586026,0.944905,0.912144
0.729135,0.586827,0.945269,0.912277
0.730377,0.588181,0.945562,0.912585
0.730694,0.588856,0.945817,0.912815
0.732062,0.589627,0.94609,0.913142
0.733795,0.590601,0.946476,0.91367
0.734354,0.59108,0.946689,0.913772
0.73521,0.590668,0.947001,0.913769
0.736394,0.591302,0.947263,0.913927
0.737761,0.591276,0.947664,0.914158
0.738631,0.592055,0.947902,0.914418
0.739668,0.59234,0.948241,0.914648
0.741303,0.593686,0.948708,0.914942
0.742129,0.593689,0.948973,0.915204
0.743309,0.59293,0.949194,0.915298
0.744346,0.593659,0.949451,0.915522
0.745559,0.594405,0.949811,0.915742
0.746396,0.59449,0.950053,0.915783
0.747618,0.596272,0.950321,0.916126
0.748248,0.596774,0.950606,0.916438
0.74953,0.597585,0.950937,0.916694
0.75051,0.598267,0.951235,0.916919
0.751563,0.597819,0.951474,0.917093
0.752471,0.598847,0.951762,0.917456
0.753573,0.59904,0.952105,0.917704
0.754445,0.600083,0.952402,0.918027
0.755177,0.600299,0.952645,0.918166
0.755838,0.601423,0.952855,0.91832
0.757366,0.601726,0.95324,0.918519
0.758344,0.601987,0.953523,0.918624
0.75938,0.602922,0.953765,0.918891
0.760707,0.602995,0.954045,0.919074
0.760941,0.603509,0.95423,0.919235
0.761986,0.604553,0.954544,0.919375
0.763106,0.604526,0.954805,0.919642
0.763963,0.605916,0.955049,0.919853
0.764915,0.606781,0.955279,0.920112
0.765963,0.607546,0.955483,0.920173
0.766639,0.608093,0.955782,0.920308
0.767289,0.608406,0.955948,0.920412
0.768405,0.609154,0.956167,0.920663
0.769189,0.609204,0.956407,0.92085
0.770094,0.608831,0.956656,0.921048
0.770998,0.609845,0.956876,0.921191
0.772076,0.611425,0.957091,0.921454
0.773072,0.611453,0.957302,0.921535
0.773634,0.612182,0.957433,0.921753
0.774227,0.612915,0.957631,0.921838
0.775167,0.612619,0.957869,0.92201
0.775882,0.612443,0.958084,0.922068
0.776946,0.612717,0.958368,0.922279
0.777806,0.613135,0.958633,0.922448
0.77902,0.614265,0.958822,0.922639
0.779901,0.61529,0.959017,0.92279
0.780421,0.615633,0.959216,0.923059
0.781161,0.616967,0.959399,0.923295
0.782097,0.61746,0.959602,0.92333
0.782883,0.617063,0.959805,0.923468
0.784019,0.618089,0.959989,0.923675
0.784717,0.618407,0.960198,0.923887
