train-AUCPR,val-AUCPR,train-AUROC,val-AUROC
0.444972,0.405599,0.847162,0.8219
0.51838,0.457806,0.867738,0.847003
0.548592,0.484377,0.882134,0.858953
0.555919,0.486378,0.884092,0.861521
0.565153,0.503613,0.886106,0.864301
0.582573,0.519921,0.887784,0.866817
0.599255,0.525168,0.892596,0.871071
0.601612,0.525778,0.894302,0.873047
0.60575,0.535632,0.896784,0.875479
0.60845,0.532188,0.897792,0.875314
0.614901,0.534822,0.899047,0.875737
0.616412,0.533747,0.899594,0.875457
0.621566,0.539242,0.901241,0.877507
0.623946,0.543717,0.901845,0.878294
0.627244,0.546907,0.90335,0.879619
0.632906,0.552713,0.90475,0.88067
0.634356,0.551348,0.906098,0.882245
0.63584,0.550391,0.907481,0.883254
0.636722,0.550678,0.907658,0.88332
0.638554,0.550949,0.908063,0.883347
0.639743,0.55134,0.908048,0.883301
0.641236,0.551424,0.908238,0.883209
0.645869,0.551696,0.909612,0.883843
0.64835,0.549618,0.910458,0.884186
0.648258,0.549986,0.911442,0.88468
0.648948,0.548941,0.912585,0.885652
0.653839,0.551567,0.913693,0.886648
0.654215,0.552442,0.914234,0.886999
0.654576,0.552835,0.91479,0.887381
0.65499,0.552321,0.914906,0.887175
0.657891,0.554762,0.915617,0.887874
0.659376,0.556586,0.915923,0.888413
0.660146,0.556243,0.916463,0.888468
0.662273,0.557491,0.917173,0.889268
0.663514,0.557483,0.917782,0.889538
0.665134,0.558176,0.918427,0.889753
0.667461,0.559103,0.918901,0.890049
0.668892,0.55869,0.91925,0.890144
0.670175,0.558143,0.91959,0.8901
0.670852,0.557769,0.920056,0.890476
0.670875,0.557429,0.920409,0.890618
0.671224,0.557827,0.920748,0.890845
0.67352,0.558417,0.921469,0.891506
0.675696,0.558908,0.922111,0.891602
0.678104,0.559509,0.922853,0.891862
0.679853,0.559137,0.923327,0.892099
0.680914,0.558197,0.923863,0.892187
0.682519,0.560278,0.924475,0.892788
0.683159,0.559392,0.924694,0.892794
0.683659,0.560525,0.925021,0.893021
0.685894,0.561786,0.925639,0.893497
0.688212,0.562475,0.926136,0.893796
0.690703,0.564196,0.926739,0.894244
0.692472,0.565067,0.927308,0.894528
0.693941,0.567226,0.927796,0.89498
0.695415,0.567179,0.928289,0.895029
0.697612,0.569144,0.928824,0.895507
0.697899,0.569467,0.929275,0.895944
0.699827,0.570099,0.929941,0.896264
0.700908,0.571271,0.930595,0.896814
0.701719,0.571972,0.930934,0.897003
0.703008,0.572981,0.931293,0.897201
0.704138,0.573881,0.931802,0.897684
0.704783,0.572926,0.932226,0.897906
0.705674,0.573504,0.932536,0.898155
0.707039,0.574697,0.933,0.898536
0.707979,0.57493,0.93334,0.898804
0.708757,0.574392,0.933645,0.898958
0.709872,0.575757,0.933959,0.899307
0.711595,0.576359,0.934287,0.899664
0.712705,0.576528,0.934752,0.8999
0.71422,0.578103,0.935137,0.900062
0.714625,0.577352,0.935508,0.90016
0.716477,0.579117,0.936043,0.900725
0.717579,0.581235,0.936454,0.901226
0.719031,0.582343,0.936855,0.901458
0.720508,0.583198,0.937221,0.901461
0.721767,0.585089,0.937651,0.90192
0.72359,0.58754,0.938063,0.902438
0.7253,0.58802,0.938543,0.902895
0.726369,0.589473,0.938889,0.903094
0.728611,0.589314,0.939525,0.903522
0.730166,0.59037,0.939982,0.904067
0.731191,0.591004,0.940282,0.904437
0.732902,0.591965,0.940609,0.904759
0.733294,0.592191,0.940839,0.905032
0.73464,0.592939,0.941188,0.905222
0.73578,0.592648,0.941603,0.905404
0.737196,0.592613,0.941872,0.905532
0.73834,0.593387,0.942267,0.905675
0.741138,0.594091,0.942789,0.905975
0.742317,0.595128,0.943124,0.906163
0.742964,0.59534,0.943413,0.906243
0.743788,0.595455,0.943676,0.906479
0.744901,0.596258,0.94399,0.906586
0.746276,0.596772,0.944361,0.90687
0.747357,0.597234,0.944703,0.906942
0.748075,0.59756,0.944871,0.907101
0.749645,0.59809,0.945278,0.907297
0.750255,0.599044,0.945491,0.907571
0.751022,0.599691,0.945791,0.907837
0.752844,0.601007,0.946285,0.908247
0.753922,0.601124,0.946647,0.908393
0.754894,0.600725,0.946881,0.908534
0.755791,0.601358,0.947144,0.908726
0.756731,0.602915,0.947419,0.908961
0.758097,0.604131,0.947803,0.909387
0.759214,0.605131,0.948073,0.909674
0.760024,0.605945,0.948341,0.90988
0.761039,0.606415,0.948679,0.910188
0.76241,0.60735,0.948997,0.910474
0.763983,0.608731,0.949434,0.91078
0.76498,0.61019,0.949704,0.911005
0.7664,0.610288,0.949986,0.911134
0.767352,0.610051,0.950223,0.911227
0.767772,0.610643,0.950341,0.911271
0.768234,0.610948,0.950618,0.911595
0.769756,0.611693,0.950907,0.911861
0.770299,0.612228,0.951143,0.912113
0.771597,0.612809,0.951392,0.912442
0.771791,0.612797,0.951548,0.912464
0.77273,0.61297,0.951851,0.912652
0.773475,0.613445,0.95205,0.912909
0.774713,0.61384,0.95232,0.913052
0.775454,0.61457,0.952516,0.913247
0.775971,0.614928,0.952752,0.913465
0.777014,0.615889,0.952984,0.913615
0.777894,0.616695,0.953228,0.91385
0.778753,0.61704,0.953399,0.913956
0.779385,0.617642,0.953571,0.914135
0.780114,0.618188,0.953769,0.914235
0.780845,0.618561,0.953968,0.91443
0.78172,0.619303,0.954251,0.914724
0.782142,0.619541,0.95449,0.914948
0.78297,0.620688,0.954695,0.915109
0.783653,0.620485,0.954887,0.915123
0.784714,0.620805,0.955157,0.915311
0.785532,0.622164,0.955385,0.915603
0.786721,0.623428,0.95575,0.915917
0.787315,0.624277,0.955905,0.916149
0.788058,0.624449,0.956107,0.916225
0.788676,0.625477,0.956285,0.916468
0.789539,0.626206,0.956464,0.916701
0.790154,0.627019,0.956589,0.916918
0.790641,0.626552,0.956758,0.917001
0.791503,0.626847,0.956947,0.917055
0.792395,0.627753,0.957172,0.91736
0.793141,0.628317,0.957351,0.917465
0.793587,0.62866,0.957528,0.917632
0.79412,0.629148,0.957682,0.917758
0.795302,0.630573,0.957916,0.917936
0.795932,0.631301,0.958127,0.918053
0.796705,0.631249,0.958374,0.918129
0.797294,0.631384,0.958547,0.918294
0.798116,0.631627,0.958817,0.918442
0.799033,0.632204,0.958998,0.91847
0.799552,0.632782,0.959165,0.918582
0.800386,0.633554,0.959358,0.918815
0.801229,0.634495,0.959589,0.919107
0.80194,0.635564,0.959755,0.919288
0.802766,0.636376,0.959909,0.919464
0.803469,0.636588,0.960085,0.91959
0.803849,0.637283,0.960235,0.919807
0.804525,0.637689,0.960408,0.919925
0.80548,0.637549,0.96062,0.920053
0.806037,0.63803,0.960782,0.92016
0.806557,0.638747,0.960906,0.92032
0.807077,0.639242,0.961085,0.920423
0.807754,0.640257,0.961305,0.920677
0.808249,0.640496,0.961459,0.920703
0.808565,0.640591,0.961583,0.920785
0.809295,0.641039,0.961778,0.92088
0.809842,0.640758,0.961956,0.920962
0.810739,0.641389,0.96217,0.921183
0.811437,0.641956,0.96239,0.921421
0.812217,0.642759,0.962538,0.921639
0.812916,0.643194,0.962717,0.921772
0.813379,0.643279,0.962858,0.921823
0.813923,0.643601,0.963016,0.921978
0.814723,0.644169,0.963213,0.922107
0.815271,0.644284,0.963382,0.922217
0.815989,0.644949,0.963623,0.922474
0.816644,0.644993,0.963821,0.922619
0.817429,0.645204,0.963992,0.922682
0.818009,0.645543,0.964151,0.922802
0.81853,0.645818,0.964293,0.922956
0.81962,0.646127,0.964614,0.923148
0.820363,0.646143,0.964805,0.923211
0.821017,0.64675,0.96495,0.923284
0.821555,0.647089,0.96509,0.923383
0.822347,0.647434,0.965305,0.923589
0.822899,0.648011,0.965435,0.923694
0.823709,0.648146,0.96561,0.923806
0.824472,0.648161,0.965779,0.923882
0.825422,0.648837,0.966043,0.924076
0.825947,0.649051,0.966173,0.924075
0.826428,0.648787,0.966334,0.92408
0.826976,0.649158,0.966462,0.924158
0.827632,0.649455,0.96664,0.924358
0.828231,0.649528,0.96677,0.924442
0.828823,0.650311,0.966918,0.924626
0.82945,0.651156,0.967081,0.924785
0.829691,0.651194,0.96716,0.924873
0.830151,0.651398,0.96729,0.924974
0.830774,0.652611,0.967398,0.925168
0.831511,0.652767,0.967578,0.925282
0.831996,0.653515,0.967712,0.925496
0.832633,0.653658,0.967883,0.925634
0.833402,0.653793,0.968035,0.925755
0.833977,0.654246,0.968162,0.925907
0.834762,0.654494,0.968325,0.925983
0.83533,0.654678,0.968501,0.926126
0.835839,0.654744,0.968657,0.926245
0.83633,0.65574,0.968798,0.926431
0.836848,0.656576,0.968897,0.926539
0.837417,0.656871,0.969012,0.926619
0.83789,0.657696,0.969118,0.926749
0.8385,0.657977,0.96926,0.926803
0.838858,0.659026,0.96934,0.926914
0.839464,0.659167,0.969491,0.926999
0.839945,0.65984,0.969609,0.927163
0.840503,0.660081,0.969766,0.927221
0.840754,0.660378,0.969829,0.927309
0.841244,0.660782,0.969985,0.927585
0.841901,0.661397,0.970127,0.92767
0.842361,0.661314,0.970238,0.927712
0.842703,0.661589,0.970311,0.927764
0.843147,0.661744,0.970405,0.927823
0.843523,0.662342,0.970499,0.927929
0.844369,0.662662,0.970663,0.928072
0.844724,0.663459,0.970732,0.928211
0.845316,0.663898,0.970894,0.928335
0.845856,0.664015,0.971015,0.928401
0.846214,0.663997,0.971092,0.928416
0.846913,0.663912,0.971275,0.928475
0.84747,0.664047,0.971417,0.928481
0.84785,0.664232,0.971537,0.928484
0.848214,0.664429,0.971616,0.928549
0.848843,0.664885,0.971742,0.92867
0.849309,0.665304,0.971856,0.928842
0.849875,0.665651,0.972008,0.92892
0.850359,0.665699,0.972153,0.92902
0.850741,0.665936,0.972242,0.929106
0.851327,0.665863,0.972369,0.929097
0.851551,0.666224,0.972422,0.92921
0.852298,0.666503,0.972572,0.929257
0.852857,0.666952,0.972685,0.929301
0.853569,0.667432,0.972822,0.929433
0.854013,0.667734,0.972918,0.929498
0.854535,0.667739,0.973039,0.929559
0.855105,0.667967,0.973179,0.929667
0.855601,0.668156,0.97329,0.929777
0.856021,0.668217,0.973405,0.929836
0.856309,0.668321,0.973471,0.929895
0.856813,0.668021,0.973576,0.92989
0.857275,0.668383,0.973674,0.929918
0.857871,0.668747,0.973815,0.930097
0.85824,0.669282,0.973903,0.930185
0.85854,0.669298,0.973975,0.930289
0.859069,0.669661,0.974092,0.930369
0.85932,0.670186,0.974141,0.930456
0.859694,0.670716,0.974236,0.930564
0.860081,0.670822,0.974309,0.930662
0.860363,0.671214,0.974391,0.930731
0.860863,0.671469,0.974499,0.930843
0.861404,0.671819,0.974614,0.930898
0.862,0.672312,0.974723,0.930923
0.862617,0.67268,0.974878,0.930918
0.863,0.673276,0.974994,0.931051
0.86359,0.673405,0.975088,0.931103
0.863816,0.674099,0.975166,0.931234
0.864086,0.674097,0.975223,0.9312
0.864285,0.674694,0.975271,0.931369
0.864317,0.674807,0.975303,0.931375
0.864699,0.675102,0.975361,0.931362
0.86489,0.675022,0.975403,0.931374
0.86529,0.67509,0.975493,0.931383
0.865744,0.675265,0.975603,0.931437
0.866488,0.675764,0.975742,0.931516
0.867018,0.676,0.975852,0.931565
0.867724,0.676281,0.975985,0.931643
0.868442,0.676617,0.976122,0.931743
0.868834,0.676703,0.976223,0.931791
0.869163,0.677033,0.976299,0.93185
0.869659,0.677154,0.976435,0.931892
0.870097,0.677623,0.976521,0.932038
0.870866,0.678161,0.97665,0.932132
0.871046,0.678253,0.976693,0.932125
0.871319,0.678156,0.976739,0.93215
0.871774,0.678485,0.976837,0.932165
0.872143,0.678765,0.976926,0.932246
0.872361,0.679052,0.97697,0.932281
0.87289,0.679446,0.977067,0.932425
0.873133,0.679572,0.97714,0.932471
0.873636,0.679823,0.977251,0.932604
0.874171,0.679927,0.977355,0.932687
0.874451,0.680018,0.977413,0.932691
0.874903,0.680345,0.977504,0.932687
0.875221,0.680281,0.97757,0.932739
0.875631,0.680267,0.977705,0.932753
0.875982,0.680384,0.977782,0.932766
0.8763,0.68051,0.977848,0.932799
0.876661,0.6807,0.977925,0.932909
0.877351,0.68076,0.978059,0.932927
0.877691,0.681354,0.97813,0.932961
0.877937,0.681566,0.978184,0.932994
0.878216,0.681668,0.978247,0.932996
0.87867,0.681765,0.978356,0.933128
0.879201,0.68229,0.978483,0.933256
0.879721,0.682631,0.978587,0.933307
0.880103,0.683052,0.978668,0.933349
0.880492,0.683312,0.978755,0.933387
0.880956,0.683486,0.978876,0.933506
0.881742,0.684203,0.979,0.933684
0.882173,0.684454,0.979103,0.933751
0.882564,0.684713,0.979174,0.933846
0.882955,0.684806,0.97925,0.93388
0.883408,0.685117,0.97934,0.933936
0.883975,0.685451,0.979455,0.93407
0.884508,0.685587,0.979575,0.934098
0.885,0.686076,0.979666,0.934196
0.885199,0.686346,0.979703,0.934238
0.885572,0.686495,0.979777,0.934297
0.886044,0.686529,0.979865,0.934349
