Pose name,Pose_no,Label
3zi0_decoy_734,4,0
3b68_decoy_418,1,0
4q1x_decoy_670,4,0
2tmn_decoy_800,1,0
6ayh_decoy_308,4,0
2a14_decoy_449,5,0
5nxo_decoy_360,3,0
1e1v_decoy_49,2,0
1oe0_decoy_579,4,0
3cct_decoy_697,5,0
5c2a_decoy_569,2,0
5bns_decoy_691,5,0
1k1n_decoy_465,1,0
4lhm_decoy_707,3,0
5eh5_decoy_565,2,0
5eu1_decoy_94,5,0
5kxe_decoy_191,1,0
3dp9_decoy_846,1,0
3sk2_decoy_666,1,0
5z75_decoy_33,5,0
2ovy_decoy_493,4,0
4ipi_decoy_452,4,0
4bj8_decoy_398,5,0
2r23_decoy_824,1,0
2i4j_decoy_281,1,0
1z1h_decoy_266,1,0
4asj_decoy_549,5,0
4orm_decoy_53,1,0
3mz6_decoy_707,4,0
5i3x_decoy_420,3,0
4gqr_decoy_607,1,0
3g0e_decoy_137,5,0
4xtx_decoy_422,5,0
3e5u_decoy_139,5,0
4hdp_decoy_330,3,0
6dh2_decoy_441,1,0
4rd0_decoy_200,4,0
3qqs_decoy_723,1,0
4e1k_decoy_679,3,0
2uwo_decoy_172,2,0
3mna_decoy_428,3,0
2gh9_decoy_197,5,0
6h8s_decoy_2_deep,2,0
3qto_decoy_563,2,0
6c1s_decoy_496,5,0
3r16_decoy_481,1,0
4jfm_decoy_326,2,0
4jxs_decoy_490,2,0
1uz4_decoy_664,5,0
2br6_decoy_170,3,0
1add_decoy_397,4,0
2wec_decoy_378,1,0
3rt8_decoy_235,3,0
4n9c_decoy_624,2,0
2al5_decoy_367,4,0
1yej_decoy_536,5,0
4loo_decoy_486,1,0
4k3n_decoy_706,4,0
4c1u_decoy_574,4,0
4q8y_decoy_643,2,0
5t7s_decoy_31,4,0
1uz8_decoy_441,4,0
2std_decoy_119,5,0
6k0j_decoy_667,1,0
2o1c_decoy_378,4,0
4yzu_decoy_206,4,0
4w9f_decoy_234,1,0
6eq8_decoy_106,3,0
6hly_decoy_899,4,0
4b5s_decoy_309,1,0
5u0z_decoy_613,1,0
1r5y_decoy_40,2,0
4qpd_decoy_574,5,0
6ebe_decoy_669,5,0
3cd5_decoy_392,4,0
3n0n_decoy_301,4,0
4iwz_decoy_235,3,0
3aj6_decoy_313,3,0
3lpf_decoy_761,4,0
5iki_decoy_312,2,0
5vc3_decoy_722,1,0
4x6o_decoy_457,3,0
4or6_decoy_92,1,0
4eo8_decoy_600,3,0
2v59_decoy_811,1,0
4hzm_decoy_3,5,0
5ia2_decoy_613,2,0
5y8y_decoy_231,4,0
3o9p_decoy_592,4,0
2csn_decoy_240,5,0
3tao_decoy_624,4,0
2qrk_decoy_172,2,0
2ohv_decoy_281,2,0
4u71_decoy_227,5,0
2bpm_decoy_219,2,0
4nue_decoy_88,4,0
3nv6_decoy_208,5,0
3str_decoy_291,5,0
4rsk_decoy_56,3,0
2vl4_decoy_301,4,0
2qzz_decoy_373,2,0
6g0z_decoy_623,4,0
4l19_decoy_735,4,0
4rak_decoy_545,5,0
2fvd_decoy_142,3,0
3uwb_decoy_303,4,0
4uof_decoy_450,1,0
4xuc_decoy_571,4,0
4zt8_decoy_353,2,0
1nl9_decoy_588,4,0
1rsd_decoy_426,3,0
5wo4_decoy_25,1,0
1v48_decoy_93,1,0
4cgi_decoy_357,1,0
2bpv_decoy_574,1,0
3dne_decoy_199,5,0
2aaw_decoy_561,2,0
3cke_decoy_490,5,0
5os4_decoy_757,3,0
3gcu_decoy_398,3,0
5n6s_decoy_280,2,0
4e1n_decoy_706,4,0
5d26_decoy_70,1,0
6cvf_decoy_105,1,0
3tb6_decoy_83,1,0
6o0f_decoy_287,4,0
4b0b_decoy_161,3,0
1uv6_decoy_609,3,0
3p7i_decoy_431,1,0
4g90_decoy_677,3,0
1tmn_decoy_156,5,0
5hjq_decoy_480,3,0
1ksn_decoy_500,1,0
1bxr_decoy_352,1,0
4b76_decoy_667,1,0
1s17_decoy_439,5,0
5nki_decoy_478,1,0
4ynb_decoy_87,3,0
2q7q_decoy_315,3,0
6o80_decoy_791,5,0
3rlp_decoy_100,4,0
1sqt_decoy_331,1,0
4riu_decoy_653,1,0
2vvs_decoy_714,3,0
5nee_decoy_97,1,0
4z1k_decoy_761,1,0
3bpc_decoy_348,2,0
4ghi_decoy_394,2,0
5l7v_decoy_472,5,0
1f8c_decoy_207,3,0
2qi7_decoy_385,3,0
2e9u_decoy_518,3,0
4o05_decoy_636,4,0
4agp_decoy_21,1,0
3t3u_decoy_88,4,0
5lif_decoy_803,2,0
