Pose_name,PDBCode,Ligand no.,Pose_no,rmsd,label_models_58,Use_in_models_58,number
10gs_rdkit_ligand_01,PDB_10gs,1,1,7.56899588,0,1,1
10gs_rdkit_ligand_04,PDB_10gs,1,4,7.547215736,0,1,2
10gs_rdkit_ligand_05,PDB_10gs,1,5,7.944830133,0,1,3
10gs_rdkit_ligand_16,PDB_10gs,1,16,1.974142453,1,1,4
184l_rdkit_ligand_01,PDB_184l,2,1,0.466209931,1,1,5
184l_rdkit_ligand_02,PDB_184l,2,2,0.452087823,1,1,6
184l_rdkit_ligand_05,PDB_184l,2,5,0.782504505,1,1,7
184l_rdkit_ligand_06,PDB_184l,2,6,0.790654982,1,1,8
184l_rdkit_ligand_09,PDB_184l,2,9,1.494074831,1,1,9
185l_rdkit_ligand_01,PDB_185l,3,1,0.502576583,0,1,10
185l_rdkit_ligand_02,PDB_185l,3,2,1.958057853,0,1,11
185l_rdkit_ligand_03,PDB_185l,3,3,1.493304427,0,1,12
185l_rdkit_ligand_09,PDB_185l,3,9,1.550507336,0,1,13
185l_rdkit_ligand_10,PDB_185l,3,10,1.684664193,0,1,14
186l_rdkit_ligand_01,PDB_186l,4,1,1.117219047,1,1,15
186l_rdkit_ligand_02,PDB_186l,4,2,0.883958992,1,1,16
186l_rdkit_ligand_05,PDB_186l,4,5,0.879189797,1,1,17
186l_rdkit_ligand_08,PDB_186l,4,8,0.988026113,1,1,18
186l_rdkit_ligand_09,PDB_186l,4,9,1.293165071,1,1,19
187l_rdkit_ligand_01,PDB_187l,5,1,0.674773944,0,1,20
187l_rdkit_ligand_02,PDB_187l,5,2,0.671701385,0,1,21
187l_rdkit_ligand_03,PDB_187l,5,3,0.693097035,0,1,22
187l_rdkit_ligand_04,PDB_187l,5,4,0.655818096,0,1,23
187l_rdkit_ligand_05,PDB_187l,5,5,0.905834422,0,1,24
188l_rdkit_ligand_01,PDB_188l,6,1,0.904093745,0,1,25
188l_rdkit_ligand_02,PDB_188l,6,2,1.001199406,0,1,26
188l_rdkit_ligand_03,PDB_188l,6,3,1.860861897,0,1,27
188l_rdkit_ligand_04,PDB_188l,6,4,1.87746508,0,1,28
188l_rdkit_ligand_09,PDB_188l,6,9,1.605528145,0,1,29
1a0q_rdkit_ligand_03,PDB_1a0q,7,3,1.741218501,1,1,30
1a0q_rdkit_ligand_04,PDB_1a0q,7,4,1.923058004,1,1,31
1a0q_rdkit_ligand_06,PDB_1a0q,7,6,1.35014281,1,1,32
1a0q_rdkit_ligand_07,PDB_1a0q,7,7,1.352852574,1,1,33
1a0q_rdkit_ligand_08,PDB_1a0q,7,8,1.633059652,1,1,34
1a0q_rdkit_ligand_10,PDB_1a0q,7,10,7.205698961,0,1,35
1a0q_rdkit_ligand_12,PDB_1a0q,7,12,7.355920626,0,1,36
1a0q_rdkit_ligand_13,PDB_1a0q,7,13,5.82082744,0,1,37
1a28_rdkit_ligand_01,PDB_1a28,8,1,0.958558043,1,1,38
1a28_rdkit_ligand_02,PDB_1a28,8,2,0.627531465,1,1,39
1a28_rdkit_ligand_03,PDB_1a28,8,3,1.026198218,1,1,40
1a28_rdkit_ligand_04,PDB_1a28,8,4,6.655401778,0,1,41
1a28_rdkit_ligand_05,PDB_1a28,8,5,6.760239448,0,1,42
1a28_rdkit_ligand_06,PDB_1a28,8,6,6.700483789,0,1,43
1a28_rdkit_ligand_08,PDB_1a28,8,8,1.864157042,1,1,44
1a4k_rdkit_ligand_13,PDB_1a4k,9,13,7.305626638,0,1,45
1a4k_rdkit_ligand_15,PDB_1a4k,9,15,8.471354549,0,1,46
1a4k_rdkit_ligand_17,PDB_1a4k,9,17,1.948389037,1,1,47
1a4k_rdkit_ligand_18,PDB_1a4k,9,18,9.00687352,0,1,48
1a4r_rdkit_ligand_01,PDB_1a4r,10,1,0.828589227,1,1,49
1a4r_rdkit_ligand_02,PDB_1a4r,10,2,0.954629491,1,1,50
1a4r_rdkit_ligand_03,PDB_1a4r,10,3,11.04557977,0,1,51
1a4r_rdkit_ligand_04,PDB_1a4r,10,4,9.474757956,0,1,52
1a4r_rdkit_ligand_05,PDB_1a4r,10,5,11.38530276,0,1,53
1a4w_rdkit_ligand_01,PDB_1a4w,11,1,1.263855694,1,1,54
1a4w_rdkit_ligand_03,PDB_1a4w,11,3,6.706338555,0,1,55
1a4w_rdkit_ligand_04,PDB_1a4w,11,4,6.047185002,0,1,56
1a4w_rdkit_ligand_05,PDB_1a4w,11,5,6.409518796,0,1,57
1a69_rdkit_ligand_02,PDB_1a69,12,2,1.96276006,1,1,58
1a69_rdkit_ligand_05,PDB_1a69,12,5,6.140303597,0,1,59
1a69_rdkit_ligand_07,PDB_1a69,12,7,8.039137336,0,1,60
1a69_rdkit_ligand_08,PDB_1a69,12,8,1.31565329,1,1,61
1a69_rdkit_ligand_10,PDB_1a69,12,10,8.171522148,0,1,62
1a99_rdkit_ligand_01,PDB_1a99,13,1,1.072324578,1,1,63
1a99_rdkit_ligand_02,PDB_1a99,13,2,1.079325793,1,1,64
1a99_rdkit_ligand_03,PDB_1a99,13,3,0.822572287,1,1,65
1a99_rdkit_ligand_06,PDB_1a99,13,6,1.71137323,1,1,66
1a99_rdkit_ligand_07,PDB_1a99,13,7,1.734978194,1,1,67
1a99_rdkit_ligand_14,PDB_1a99,13,14,8.390705135,0,1,68
1a99_rdkit_ligand_15,PDB_1a99,13,15,4.653359987,0,1,69
1a99_rdkit_ligand_16,PDB_1a99,13,16,4.691814592,0,1,70
1a9m_rdkit_ligand_03,PDB_1a9m,14,3,4.877544506,0,1,71
1a9m_rdkit_ligand_04,PDB_1a9m,14,4,10.05781299,0,1,72
1a9m_rdkit_ligand_05,PDB_1a9m,14,5,10.87523921,0,1,73
1a9m_rdkit_ligand_09,PDB_1a9m,14,9,1.787512058,1,1,74
1a9q_rdkit_ligand_01,PDB_1a9q,15,1,0.51442463,1,1,75
1a9q_rdkit_ligand_04,PDB_1a9q,15,4,7.087920407,0,1,76
1a9q_rdkit_ligand_10,PDB_1a9q,15,10,6.530114754,0,1,77
1a9q_rdkit_ligand_12,PDB_1a9q,15,12,5.843375625,0,1,78
1aaq_rdkit_ligand_01,PDB_1aaq,16,1,10.76375672,0,1,79
1aaq_rdkit_ligand_02,PDB_1aaq,16,2,10.75630387,0,1,80
1aaq_rdkit_ligand_04,PDB_1aaq,16,4,1.070132599,1,1,81
1aaq_rdkit_ligand_05,PDB_1aaq,16,5,10.99225654,0,1,82
1aaq_rdkit_ligand_07,PDB_1aaq,16,7,1.655456256,1,1,83
1add_rdkit_ligand_01,PDB_1add,17,1,5.490839414,0,1,84
1add_rdkit_ligand_02,PDB_1add,17,2,0.757217239,1,1,85
1add_rdkit_ligand_03,PDB_1add,17,3,5.61667633,0,1,86
1add_rdkit_ligand_04,PDB_1add,17,4,5.56260277,0,1,87
1adl_rdkit_ligand_03,PDB_1adl,18,3,5.428421129,0,1,88
1adl_rdkit_ligand_05,PDB_1adl,18,5,7.08230159,0,1,89
1adl_rdkit_ligand_06,PDB_1adl,18,6,7.395174732,0,1,90
1adl_rdkit_ligand_08,PDB_1adl,18,8,1.963986067,1,1,91
1ado_rdkit_ligand_02,PDB_1ado,19,2,4.674662715,0,1,92
1ado_rdkit_ligand_07,PDB_1ado,19,7,1.158920834,1,1,93
1ado_rdkit_ligand_10,PDB_1ado,19,10,4.623502071,0,1,94
1ado_rdkit_ligand_12,PDB_1ado,19,12,4.651910532,0,1,95
1ado_rdkit_ligand_17,PDB_1ado,19,17,1.305150413,1,1,96
1afk_rdkit_ligand_01,PDB_1afk,20,1,9.183436808,0,1,97
1afk_rdkit_ligand_02,PDB_1afk,20,2,8.885982582,0,1,98
1afk_rdkit_ligand_03,PDB_1afk,20,3,9.045246745,0,1,99
1afk_rdkit_ligand_06,PDB_1afk,20,6,1.651224765,1,1,100
1afl_rdkit_ligand_01,PDB_1afl,21,1,9.731836724,0,1,101
1afl_rdkit_ligand_02,PDB_1afl,21,2,9.562142542,0,1,102
1afl_rdkit_ligand_03,PDB_1afl,21,3,9.184898036,0,1,103
1ag9_rdkit_ligand_01,PDB_1ag9,22,1,0.738127601,1,1,104
1ag9_rdkit_ligand_02,PDB_1ag9,22,2,1.64942068,1,1,105
1ag9_rdkit_ligand_03,PDB_1ag9,22,3,4.674681259,0,1,106
1ag9_rdkit_ligand_06,PDB_1ag9,22,6,4.702721769,0,1,107
1ag9_rdkit_ligand_08,PDB_1ag9,22,8,5.581222187,0,1,108
1ai4_rdkit_ligand_01,PDB_1ai4,23,1,1.126394913,0,1,109
1ai4_rdkit_ligand_02,PDB_1ai4,23,2,5.023780764,0,1,110
1ai4_rdkit_ligand_03,PDB_1ai4,23,3,4.593751109,0,1,111
1ai4_rdkit_ligand_04,PDB_1ai4,23,4,1.470208234,0,1,112
1ai4_rdkit_ligand_06,PDB_1ai4,23,6,5.209811897,0,1,113
1ai4_rdkit_ligand_07,PDB_1ai4,23,7,1.303451572,0,1,114
